id,title,author,published_utc,article_url,tickers,amp_url,image_url,description,title_finBERT,title_financialBERT,description_finBERT,description_financialBERT
cn8BTl8YHgmiIEOfL7K-CGFg7d1XEd25LJmzMsGhZsk,"This Growth Stock Is Effectively Grappling With Inflation, but Should Investors Buy Now?",newsfeedback@fool.com (Parkev Tatevosian),2022-07-03T15:00:00Z,https://www.fool.com/investing/2022/07/03/this-growth-stock-is-effectively-grappling-with-in/,CHWY,,https://g.foolcdn.com/editorial/images/688038/gettyimages-1272821057.jpg,Inflation has made cost management a more critical ingredient in Chewy's success.,neutral,neutral,positive,neutral
yASVHj2ige1n68R1P-zLpIS30teHzazC8YdfhrHQ_DA,Here's an Easy Way to Start Making Passive Income,newsfeedback@fool.com (Matthew DiLallo),2022-07-03T14:30:00Z,https://www.fool.com/investing/2022/07/03/heres-an-easy-way-to-start-making-passive-income/,ADC,,https://g.foolcdn.com/editorial/images/688008/a-person-looking-at-a-chart-next-to-stacks-of-coins.jpg,This company makes payments every month.,neutral,neutral,neutral,neutral
xTo-9FSOYMTaA2S3nYR90CwW-scW0wknfcCl7HSU0e4,"Down 20%-Plus, Is It Safe to Invest in the Stock Market Right Now?",newsfeedback@fool.com (Chuck Saletta),2022-07-03T14:30:00Z,https://www.fool.com/investing/2022/07/03/is-it-safe-to-invest-in-the-stock-market-right-now/,BZH,,https://g.foolcdn.com/editorial/images/688235/investor-looking-sad-down-market-gettyimages-1348773554.jpg,The best part of a down market is that it often offers up shares of companies at value prices.,negative,neutral,neutral,neutral
lER5q-yeWMhV4Zl90I4mKE-u2EuBhIHqbT1u9idU_YQ,Why Sea Limited Declined by 19.1% in June,newsfeedback@fool.com (Royston Yang),2022-07-03T13:34:22Z,https://www.fool.com/investing/2022/07/03/why-sea-limited-declined-by-191-in-june/,SE,,https://g.foolcdn.com/editorial/images/688243/boy-playing-mmorpg.jpg,The e-commerce and gaming company is right-sizing its staff strength as an economic slowdown looms.,negative,neutral,positive,positive
VjDKQS61VJs0HVw6eI8yl9BNd-i5kQ-Iu379c1sUL1U,Nike Stock: Time to Buy?,newsfeedback@fool.com (Demitri Kalogeropoulos),2022-07-03T13:18:00Z,https://www.fool.com/investing/2022/07/03/nike-stock-time-to-buy/,NKE,,https://g.foolcdn.com/editorial/images/687346/couple-doing-yoga.jpg,"Inventory risks are rising, but the business looks strong.",neutral,neutral,positive,positive
QVYjvGe247GNx1gbkbuCGTdEgExu2LOAcOQcFpMR5aQ,5 Surefire Investments You'll Thank Yourself for Later,newsfeedback@fool.com (Mark Blank),2022-07-03T13:15:00Z,https://www.fool.com/investing/2022/07/03/5-surefire-investments-youll-thank-yourself-for/,CRM TWTR UBER LYFT,,https://g.foolcdn.com/editorial/images/687512/gettyimages-1318528088.jpg,"Investing in skills, knowledge, and relationships is just as important as the investments you make in your portfolio.",neutral,neutral,neutral,neutral
UB_OJXS6GctHyvmv_n30COW43yCkLz0mYWQjwTqUYg0,Here's Why Bitcoin Just Had Its Worst Quarter In Over A Decade; Ethereum Saw Its Worst Quarter Ever,Bibhu Pattnaik,2022-07-03T13:13:03Z,https://www.benzinga.com/markets/cryptocurrency/22/07/27941602/heres-why-bitcoin-just-had-its-worst-quarter-in-over-a-decade,GS,https://www.benzinga.com/amp/content/27941602,https://cdn.benzinga.com/files/images/story/2022/07/03/bitcoin_falling3.jpg?width=1200&height=800&fit=crop,"The cryptocurrency mayhem continued to show its downward trend in the second quarter of 2022. At the closing hour of Thursday, June 30, Bitcoin (CRYPTO: BTC) traded below the $19,000 level, marking the worst quarterly loss in more than a decade. 
CryptoCompare reported that Bitcoin had lost around 58% of its value in the second quarter of 2022.  
Bitcoin posted its worst quarterly performance since 2011 when it lost around 68.2% of its value in the third quarter of that year.
With the ongoing crypto market plunge, Bitcoin has fallen from around $69,000 in November 2021 to about $19,000.   
According to the Coin Metrics data, the cryptocurrency was down nearly 40% for June, which was its worst month dating back to 2010. 
The data also shows that Ethereum (CRYPTO: ETH) witnessed the worst quarter since its introduction in 2015. 
Also Read: This Analyst Warns Bitcoin Could Crash To $10,000; One Final Flush Down Is 'Probably Months Away'
Ether, the second-largest cryptocurrency by ...",negative,neutral,negative,negative
nOoQkQOFtlOkJNdr5hPE9GzqIz_Uc1lXD5iVHzf7XKg,Why DocuSign Crashed 31.6% in June,newsfeedback@fool.com (Royston Yang),2022-07-03T13:10:26Z,https://www.fool.com/investing/2022/07/03/why-docusign-crashed-316-in-june/,DOCU,,https://g.foolcdn.com/editorial/images/688242/employee-signing-e-signature.jpg,The digital signature company announced a change of CEO to take its business to the next level.,neutral,neutral,neutral,neutral
t3WwpmhzYEsDkvycgbL8Zo31lzxkr9Y5ayV5mbtHqsE,1 Beaten-Down Stock to Buy in July,newsfeedback@fool.com (Adam Levine-Weinberg),2022-07-03T13:06:00Z,https://www.fool.com/investing/2022/07/03/1-beaten-down-stock-to-buy-in-july/,GM,,https://g.foolcdn.com/editorial/images/688184/industrials-autos-general-motors-2021-chevy-silverado-gm.jpg,"The top U.S. automaker just reaffirmed its guidance for 2022, but its share price has fallen by 45% this year.",neutral,neutral,negative,negative
LYZJRFqzTizvZarUQPacch04gkBjMvND9hVyvV92xus,7 Reasons We Love Midstream Oil And Gas Stocks,Jussi Askola,2022-07-03T13:00:00Z,https://seekingalpha.com/article/4521350-reasons-we-love-midstream-oil-gas-stocks,AMLP CVX ENB ENBA EPD ET ETRN IEZ KMI MLPX WMB XOM XOP,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/942147422/image_942147422.jpg?io=getty-c-w750,"Of the energy sector's three segments, why do we love the midstream energy space? What are our top picks in this space? Click here to find out.",neutral,neutral,neutral,neutral
rIwd62hSbu6zq0Fi067HEwsQ126nJ0T6TzFP5MG5x3g,I Can't Seem to Get Enough of This High-Yielding REIT,newsfeedback@fool.com (Matthew DiLallo),2022-07-03T12:35:00Z,https://www.fool.com/investing/2022/07/03/i-cant-seem-to-get-enough-of-this-high-yielding-re/,MPW,,https://g.foolcdn.com/editorial/images/687822/a-person-looking-at-a-visual-with-the-word-reit-at-the-center.jpg,The REIT offers an enticing dividend.,neutral,neutral,positive,neutral
AyMtEukptADVDwW3EvCg0tMqEyC7zN3aNfoVuRNGJSc,2 Warren Buffett Growth Stocks Down 65% and 92% to Buy Right Now,newsfeedback@fool.com (Keith Noonan),2022-07-03T12:30:00Z,https://www.fool.com/investing/2022/07/03/2-warren-buffett-growth-stocks-down-65-and-92/,SNOW BRK.A BRK.B STNE,,https://g.foolcdn.com/editorial/images/687528/warren-buffett-in-a-crowd-smiling_V1wOiIB.jpg,Here's why you should invest in some of Buffett's biggest losers.,negative,neutral,neutral,neutral
sQwaf5LVDcKNfqQot_6HqbkMGHf-BlNJB-21isow_lo,Etsy's Stock Has Crashed -- Buy the Dip?,newsfeedback@fool.com (Neil Patel),2022-07-03T12:20:00Z,https://www.fool.com/investing/2022/07/03/etsys-stock-has-crashed-buy-the-dip/,ETSY,,https://g.foolcdn.com/editorial/images/687884/open-box-online-order-clothes.jpg,Now is a great time to add this beaten-down pandemic winner to your portfolio.,negative,neutral,neutral,positive
IeGV1tKuLrvDCwA0Xj2XTuq1jqid9feFqFZh9iXGpMI,The Real Reason Micron Is Sinking NVIDIA Stock,newsfeedback@fool.com (Nicholas Rossolillo),2022-07-03T12:03:00Z,https://www.fool.com/investing/2022/07/03/the-real-reason-micron-is-sinking-nvidia-stock/,NVDA MU,,https://g.foolcdn.com/editorial/images/688171/laptop-tablet-work-from-home.jpg,"Worry is mounting over weak consumer spending, but that argument might be mistaken as far as Nvidia is concerned.",negative,neutral,negative,negative
pPSfiNpHef_Z0tx2ArDvLPxet_KCBJQK2Yk4oqla5xg,Is This Really the Right Time to Invest in the Stock Market?,newsfeedback@fool.com (Stefon Walters),2022-07-03T12:00:00Z,https://www.fool.com/investing/2022/07/03/is-this-really-the-right-time-to-invest/,NFLX,,https://g.foolcdn.com/editorial/images/687410/gettyimages-1042788954.jpg,Don't get distracted from your long-term investing goals.,neutral,neutral,neutral,negative
j7-dDgi944ZyHeAF1P_0ypegP8CU6CfGKkdmGdwFg-g,Sentiment Speaks: An Update On Many Segments Of The Market,Avi Gilburt,2022-07-03T11:55:00Z,https://seekingalpha.com/article/4521535-update-on-many-segments-of-market,BAPR BAUG BJUL BJUN BMAR BMAY BOCT BUFF CATH EFIV EPS FTA HIBL HIBS IVE IVV IVW KNG NOBL NVQ PAPR PAUG PBP PJAN PJUN PUTW QDIV QVML RPG RPV RSP RWL RYT SDS SH SNPE SPDN SPDV SPGP SPHB SPHD SPHQ SPLG SPLV SPMO SPMV SPUS SPUU SPVM SPVU SPXE SPXL SPXN SPXS SPXT SPXU SPXV SPY SPYD SPYG SPYV SPYX SSO SSPY UAUG UJAN UMAR UMAY UOCT UPRO USMC VOO VOOG VOOV VXX VXZ XLG XRLV XVV XYLD XYLG DBP JJP GLTR GLD IAU DGL BAR SGOL OUNZ GLDI IAUF GLDM AAAU BGLD IGLD GBUG IAUM PBUG WGLD PHYS SLV DBS SIVR SLVO SBUG PSLV PALL PGM PPLT PLTM GDX TLT,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1365854900/image_1365854900.jpg?io=getty-c-w750,The SPX should be bottoming out for the next few months. The metals are setting up their own bottoming. Click here to read more on market segments.,neutral,neutral,neutral,neutral
RFTDZEvXhveBh4-yb2m5guOHVKMQxowUG1YQu9qV8Ps,2 Top AI Stocks Ready for a Bull Run,newsfeedback@fool.com (Chris Neiger),2022-07-03T11:52:00Z,https://www.fool.com/investing/2022/07/03/2-top-ai-stocks-for-a-bull-run/,AMZN NVDA,,https://g.foolcdn.com/editorial/images/688001/gettyimages-1145585734.jpg,These technology stocks are well-positioned for an artificial-intelligence-focused future.,neutral,neutral,positive,positive
IzOLAmX4DfbHxTobahy1es83O8PQEfz2iVhJnUOgj0Q,Here's a Winning Stock Many Investors Should NOT Buy,newsfeedback@fool.com (Will Healy),2022-07-03T11:48:00Z,https://www.fool.com/investing/2022/07/03/winning-stock-investors-not-buy/,MU,,https://g.foolcdn.com/editorial/images/688055/investordoingresearch.jpg,"Micron stock has outperformed the market, but the ride has been unusually painful for stockholders.",neutral,neutral,negative,positive
Ys5H856xDEWGyZyXQFCxNmgeW9qpO9lw6q5L0Vquy1w,"3 Stocks to Watch Next Week: Tesla, Exxon, Coinbase",Haris Anwar/Investing.com,2022-07-03T11:43:00Z,https://www.investing.com/analysis/3-stocks-to-watch-next-week-tesla-exxon-coinbase-200626616,MU META TSLA XOM COIN,https://m.investing.com/analysis/3-stocks-to-watch-next-week-tesla-exxon-coinbase-200626616?ampMode=1,https://i-invdn-com.investing.com/redesign/images/seo/investingcom_analysis_og.jpg,,neutral,neutral,,
HQKB5lN__onafhMFf2Oy0JGcZqwXdqihCc5cVuQ6ESE,"If I Had to Buy One REIT Stock, This Would Be It",newsfeedback@fool.com (Reuben Gregg Brewer),2022-07-03T11:31:00Z,https://www.fool.com/investing/2022/07/03/if-i-had-to-buy-one-reit-stock-this-would-be-it/,WPC,,https://g.foolcdn.com/editorial/images/687586/21_05_25-a-sign-with-the-word-dividends-next-to-a-money-roll-_gettyimages-186201544.jpg,"If you are looking for a ""one and done"" REIT, you should be thinking about getting as much bang for your buck as possible.",neutral,neutral,neutral,neutral
_8E890MBuMRd2oJpPdWyv8-A4Dr2oJQ7GSEG3JPl-BM,"Have $1,000? 2 Warren Buffett Stocks to Buy Right Now",newsfeedback@fool.com (Keith Noonan),2022-07-03T11:30:00Z,https://www.fool.com/investing/2022/07/03/have-1000-2-warren-buffett-stocks-to-buy-right-now/,SNOW BRK.A BRK.B AAPL GOOGL AMZN SONY ATVI GOOG,,https://g.foolcdn.com/editorial/images/687526/warren-buffett-standing-in-between-two-other-people.jpg,"The bull cases for these Berkshire portfolio components are wildly different, but both stocks look like winners.",neutral,neutral,neutral,neutral
BY1wonguDYlbeb19PGl15cEMZe6XLteyIDmi8O28yU4,2 Growth Stocks That Could Help You Retire a Millionaire,newsfeedback@fool.com (Neha Chamaria),2022-07-03T11:25:00Z,https://www.fool.com/investing/2022/07/03/2-growth-stocks-that-could-help-you-retire-million/,CRM ORCL AWR SAP,,https://g.foolcdn.com/editorial/images/688082/a-happy-senior-couple.jpg,Want to retire rich? These two stocks could help you get there.,neutral,neutral,neutral,neutral
JxgBMSh8MfS9-mur6dZ4vA6KmSCFYfbRSKXDPh_iN94,Avoid These 2 Tantalizingly Cheap Growth Stocks,newsfeedback@fool.com (Alex Carchidi),2022-07-03T11:24:00Z,https://www.fool.com/investing/2022/07/03/avoid-these-2-tantalizingly-cheap-growth-stocks/,TLRY ACB CGC SNDL,,https://g.foolcdn.com/editorial/images/687853/cannabis-worker-compares-plants.jpg,They're liable to burn investors even though they're inexpensive.,neutral,neutral,neutral,neutral
IJNFj-jqAr9dpB-fRU_cBZPNhbQNv7ElNX1KfktIzVU,3 Ways to Score a Richer Monthly Social Security Payout,"newsfeedback@fool.com (Matthew Frankel, CFP®)",2022-07-03T11:22:00Z,https://www.fool.com/investing/2022/07/03/3-ways-to-score-a-richer-monthly-social-security-p/,FVRR UPWK,,https://g.foolcdn.com/editorial/images/687803/social-security-2022.jpg,Here's a guide to the main ways you can boost your Social Security retirement benefits.,positive,neutral,neutral,neutral
RH6tbhTt_dS0052JBegzy7BEzQWw4_d3Jmb8ynPWhX4,3 Top Chip Stocks to Supplement Your Nvidia and AMD Position,"newsfeedback@fool.com (Nicholas Rossolillo, Anders Bylund, and Billy Duberstein)",2022-07-03T11:00:00Z,https://www.fool.com/investing/2022/07/03/3-top-chip-stocks-to-supplement-your-nvidia-and-am/,AMAT NVDA NXPI OLED AMD MU SMH,,https://g.foolcdn.com/editorial/images/688107/investing-remote-work-portfolio.jpg,"The semiconductor industry is seemingly in a tailspin, but there's extreme value to be had out there.",neutral,neutral,neutral,neutral
14n9ZshAV65Ytzo3rXk30fHYkZWpEQZ8WTntK_96XaQ,3 Things to Watch in the Stock Market This Week,newsfeedback@fool.com (Demitri Kalogeropoulos),2022-07-03T11:00:00Z,https://www.fool.com/investing/2022/07/03/3-things-to-watch-in-the-stock-market-this-week/,LEVI COST PSMT WDFC NKE,,https://g.foolcdn.com/editorial/images/687343/apparel-shopping.jpg,Levi stock could see a big swing this week.,neutral,neutral,positive,neutral
XDpEice-oxt2JZnwDxzfpNPiv9UKf2sv8ZsHIm7jshM,2 First-Rate ETFs for Stock Dividends,newsfeedback@fool.com (Dave Kovaleski),2022-07-03T10:55:00Z,https://www.fool.com/investing/2022/07/03/2-first-rate-etfs-for-stock-dividends/,HDV VZ T XOM JNJ GSK ABBV GCOW,,https://g.foolcdn.com/editorial/images/687870/gettyimages-1328886172.jpg,These two ETFs produce both market-beating returns and high-yielding dividends.,neutral,neutral,positive,positive
EvwU2d9yv_sY7xX7vCNpX8PTtomwADdY38x5BloMejc,3 Things the World's Smartest Investors Will Do in the Second Half of 2022 to Beat the Market,newsfeedback@fool.com (Keith Speights),2022-07-03T10:45:00Z,https://www.fool.com/investing/2022/07/03/3-things-smartest-investors-second-half-2022/,OXY HPQ CVX BRK.A BRK.B,,https://g.foolcdn.com/editorial/images/687903/warren-buffett-with-crowd-and-microphones.jpg,"Following these steps should make you one of those smart investors, too.",positive,neutral,neutral,neutral
gRm2rBU2VRLRRQsQ9KdyadeF5rp5GlbcongQNC4rXWM,"Micron Q3 Earnings: Short Term Headwinds, Long Term Tailwinds",Kennan Mell,2022-07-03T10:26:00Z,https://seekingalpha.com/article/4521551-micron-q3-earnings-short-term-headwinds-long-term-tailwinds,MU,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1347628356/image_1347628356.jpg?io=getty-c-w750,Micron Technology (MU) is one of the cheapest semiconductor companies available. Read why I think that the long term picture for MU remains bright.,negative,neutral,positive,positive
0JQcIRtGGTb5b9oTP5Yh2wPMhfHR2sLDIXWA5-FuYRk,"How to Retire with $1.2 Million on a $75,000 Salary",newsfeedback@fool.com (Selena Maranjian),2022-07-03T10:15:00Z,https://www.fool.com/investing/2022/07/03/how-to-retire-with-12-million-on-a-75000-salary/,SPY,,https://g.foolcdn.com/editorial/images/687405/getty-happy-couple-on-couch.jpg,"You can probably amass much more than you think, boosting your future financial security.",neutral,neutral,positive,neutral
G41WCpu-AIZ9SM42ZlnZUDjguY6uX3Zwkomhs-L3f7g,"Want $10,000 in Passive Income? Buy This Safe High-Yield Dividend Stock",newsfeedback@fool.com (Keith Speights),2022-07-03T09:52:00Z,https://www.fool.com/investing/2022/07/03/passive-income-buy-safe-high-yield-dividend-stock/,MPW,,https://g.foolcdn.com/editorial/images/686927/hospital-corridor-with-people.jpg,There's a lot to like with this healthcare REIT.,neutral,neutral,neutral,neutral
4tzus5-jV7XBa38dGiaedLITpvqTv4y1VSH_hN78bfI,"Learn This Investing Lesson, And You'll Have the Key to Success",newsfeedback@fool.com (Stefon Walters),2022-07-03T09:45:00Z,https://www.fool.com/investing/2022/07/03/learn-this-investing-lesson-and-youll-have-the-key/,AAPL,,https://g.foolcdn.com/editorial/images/687387/gettyimages-1072792764.jpg,Investing doesn't have to be hard; you just need time.,neutral,neutral,neutral,neutral
5dMLue5nF9dt9QViK2Yt24rlwwVNYFBKsvjzyZcpBiI,"3 Monster Growth Stocks That Can Turn $200,000 Into $1 Million by 2030",newsfeedback@fool.com (Sean Williams),2022-07-03T09:21:00Z,https://www.fool.com/investing/2022/07/03/3-growth-stocks-turn-200000-into-1-million-by-2030/,NIO TRUP,,https://g.foolcdn.com/editorial/images/687769/stack-of-one-hundred-dollar-bills-cash-money-stimulus-invest-retire-getty.jpg,"Patience can pay off handsomely when you own stakes in innovative, high-growth companies.",neutral,neutral,neutral,neutral
aC_Hhv3Svl7f6xfZNI6qCZH81tnMMBMcgdQRB50Dj3s,3 Investments That Can Help You Reach Financial Independence,"newsfeedback@fool.com (Chuck Saletta, Eric Volkman, and Parkev Tatevosian)",2022-07-03T09:15:00Z,https://www.fool.com/investing/2022/07/03/3-investments-that-can-help-you-reach-financial-in/,KO TGT RSP,,https://g.foolcdn.com/editorial/images/687753/independence-day-party-gettyimages-1156107246.jpg,Every great financial goal gets easier with a solid foundation in place.,neutral,neutral,neutral,positive
roqB03G4Gd6l23A2jAhXawSe81T_kXpUCg2P291-JOc,Google: Internet Juggernaut With Self Driving NOW A Reality,Ben Alaimo,2022-07-03T09:02:22Z,https://seekingalpha.com/article/4521540-alphabet-google-stock-internet-juggernaut-with-self-driving-now-a-reality,GOOG GOOGL,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1337403704/image_1337403704.jpg?io=getty-c-w750,Alphabet's (Google) Moonshot bets are starting to become a reality. Check out what makes Google stock a great long term investment opportunity now.,neutral,neutral,neutral,positive
mFV-oXwLyrMGQdqtaEH2Pn_vMz5HPwrabmwOxwY030E,Buy Prudential And Go Drink Lemonade,Action Biased,2022-07-03T08:00:23Z,https://seekingalpha.com/article/4521537-buy-prudential-lemonade-stock-downside,AFL MET LMND PRU,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1170084681/image_1170084681.jpg?io=getty-c-w750,We look at Prudential Financial Inc. and Lemonade as a Pair Trade. Click here to read more.,neutral,neutral,neutral,neutral
urm2n8ckZ0Fj1wh24fXtbe2bqV8ENI93-0KKTL4bv9M,RH: A Cash Flow Machine That Is Going A Lot Higher,Josh Arnold,2022-07-03T07:30:51Z,https://seekingalpha.com/article/4521533-rh-a-cash-flow-machine-that-is-going-a-lot-higher,RH,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1318363878/image_1318363878.jpg?io=getty-c-w750,"RH is now at a trough valuation. It may get cheaper, but odds are the risk is to the upside in the coming year. Click here to read more about RH stock.",neutral,neutral,negative,positive
AD4tYZ2t2J3OAy5Xh9R84E99-m2YThV0bLUCCem5U0A,Mosaic: The Sell-Off Was Justified,JR Research,2022-07-03T06:58:44Z,https://seekingalpha.com/article/4521530-mosaic-the-sell-off-was-justified,MOS,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072349326/image_1072349326.jpg?io=getty-c-w750,"Our previous Sell rating on Mosaic stock has played out accordingly, as the market digested MOS gains further, despite its cheap valuations. Read more.",neutral,neutral,neutral,positive
